,0,1
0,21001,180
1,21003,721
2,21005,360
3,21007,0
4,21009,901
5,21011,181
6,21013,1803
7,21015,1262
8,21017,362
9,21019,1261
10,21021,180
11,21023,0
12,21025,2345
13,21027,0
14,21029,1624
15,21031,180
16,21033,0
17,21035,0
18,21037,4865
19,21039,360
20,21041,540
21,21043,540
22,21045,541
23,21047,180
24,21049,1444
25,21051,904
26,21053,0
27,21055,360
28,21057,0
29,21059,180
30,21061,180
31,21063,0
32,21065,1
33,21067,7028
34,21069,541
35,21071,1622
36,21073,1081
37,21075,540
38,21077,180
39,21079,362
40,21081,361
41,21083,0
42,21085,540
43,21087,0
44,21089,180
45,21091,0
46,21093,1805
47,21095,2165
48,21097,180
49,21099,0
50,21101,0
51,21103,0
52,21105,0
53,21107,360
54,21109,902
55,21111,16216
56,21113,2525
57,21115,901
58,21117,3244
59,21119,3066
60,21121,1983
61,21123,360
62,21125,1443
63,21127,180
64,21129,1081
65,21131,1624
66,21133,1985
67,21135,180
68,21137,181
69,21139,180
70,21141,540
71,21143,0
72,21145,1261
73,21147,542
74,21149,0
75,21151,6488
76,21153,181
77,21155,901
78,21157,0
79,21159,0
80,21161,540
81,21163,360
82,21165,360
83,21167,541
84,21169,180
85,21171,180
86,21173,1622
87,21175,180
88,21177,540
89,21179,181
90,21181,1441
91,21183,0
92,21185,363
93,21187,180
94,21189,363
95,21191,542
96,21193,13335
97,21195,1622
98,21197,901
99,21199,2883
100,21201,180
101,21203,1443
102,21205,540
103,21207,721
104,21209,361
105,21211,183
106,21213,0
107,21215,183
108,21217,180
109,21219,0
110,21221,180
111,21223,0
112,21225,0
113,21227,1622
114,21229,360
115,21231,1081
116,21233,180
117,21235,3244
118,21237,181
119,21239,2
120,39001,2523
121,39003,901
122,39005,1802
123,39007,362
124,39009,2162
125,39011,541
126,39013,721
127,39015,1082
128,39017,3069
129,39019,181
130,39021,180
131,39023,2
132,39025,3968
133,39027,1443
134,39029,181
135,39031,181
136,39033,1082
137,39035,4146
138,39037,543
139,39039,900
140,39041,2704
141,39043,1802
142,39045,542
143,39047,1
144,39049,3605
145,39051,180
146,39053,721
147,39055,183
148,39057,1084
149,39059,1081
150,39061,20182
151,39063,541
152,39065,541
153,39067,0
154,39069,1
155,39071,1443
156,39073,1
157,39075,181
158,39077,361
159,39079,1262
160,39081,540
161,39083,362
162,39085,7928
163,39087,0
164,39089,2704
165,39091,0
166,39093,1
167,39095,3784
168,39097,1082
169,39099,4686
170,39101,1442
171,39103,902
172,39105,360
173,39107,541
174,39109,1443
175,39111,0
176,39113,11713
177,39115,181
178,39117,1262
179,39119,181
180,39121,0
181,39123,541
182,39125,180
183,39127,1262
184,39129,902
185,39131,902
186,39133,1444
187,39135,543
188,39137,0
189,39139,1622
190,39141,3063
191,39143,1262
192,39145,901
193,39147,1081
194,39149,901
195,39151,3785
196,39153,2344
197,39155,2163
198,39157,541
199,39159,542
200,39161,901
201,39163,1
202,39165,2709
203,39167,1802
204,39169,902
205,39171,0
206,39173,1082
207,39175,361
208,42001,721
209,42003,11712
210,42005,363
211,42007,362
212,42009,0
213,42011,181
214,42013,2342
215,42015,0
216,42017,12257
217,42019,182
218,42021,2523
219,42023,0
220,42025,721
221,42027,361
222,42029,1623
223,42031,0
224,42033,541
225,42035,361
226,42037,180
227,42039,1081
228,42041,181
229,42043,2343
230,42045,8112
231,42047,180
232,42049,721
233,42051,1442
234,42053,0
235,42055,1441
236,42057,180
237,42059,180
238,42061,0
239,42063,1
240,42065,180
241,42067,0
242,42069,1261
243,42071,902
244,42073,901
245,42075,180
246,42077,1263
247,42079,1802
248,42081,1441
249,42083,1441
250,42085,361
251,42087,360
252,42089,1262
253,42091,368
254,42093,180
255,42095,723
256,42097,361
257,42099,361
258,42101,25589
259,42103,360
260,42105,1081
261,42107,721
262,42109,180
263,42111,361
264,42113,180
265,42115,180
266,42117,0
267,42119,541
268,42121,1081
269,42123,541
270,42125,1264
271,42127,360
272,42129,5048
273,42131,180
274,42133,4505
275,51001,180
276,51003,541
277,51005,1621
278,51007,180
279,51009,360
280,51011,0
281,51013,1081
282,51015,1081
283,51017,541
284,51019,1081
285,51021,362
286,51023,360
287,51025,180
288,51027,2162
289,51029,720
290,51031,901
291,51033,1
292,51035,0
293,51036,1
294,51037,0
295,51041,2344
296,51043,181
297,51045,361
298,51047,3065
299,51049,540
300,51051,361
301,51053,361
302,51057,0
303,51059,4505
304,51061,2885
305,51063,1
306,51065,180
307,51067,901
308,51069,1082
309,51071,1622
310,51073,540
311,51075,1
312,51077,360
313,51079,181
314,51081,0
315,51083,901
316,51085,2523
317,51087,3605
318,51089,721
319,51091,0
320,51093,180
321,51095,1081
322,51097,0
323,51099,360
324,51101,180
325,51103,180
326,51105,361
327,51107,1443
328,51109,361
329,51111,540
330,51113,1442
331,51115,180
332,51117,721
333,51119,0
334,51121,2523
335,51125,0
336,51127,181
337,51131,0
338,51133,180
339,51135,0
340,51137,902
341,51139,1623
342,51141,540
343,51143,361
344,51145,541
345,51147,180
346,51149,721
347,51153,2164
348,51155,3244
349,51157,722
350,51159,0
351,51161,1
352,51163,361
353,51165,1262
354,51167,1083
355,51169,2163
356,51171,2884
357,51173,902
358,51175,0
359,51177,3605
360,51179,2344
361,51181,0
362,51183,0
363,51185,3063
364,51187,2704
365,51191,1262
366,51193,360
367,51195,3063
368,51197,1081
369,51199,181
370,51510,361
371,51515,0
372,51520,1261
373,51530,180
374,51540,180
375,51550,1442
376,51570,541
377,51580,0
378,51590,1982
379,51595,0
380,51600,541
381,51610,181
382,51620,0
383,51630,901
384,51640,180
385,51650,1262
386,51660,180
387,51670,0
388,51678,0
389,51680,360
390,51683,0
391,51685,0
392,51690,180
393,51700,2883
394,51710,541
395,51720,0
396,51730,361
397,51735,180
398,51740,361
399,51750,361
400,51760,7568
401,51770,5405
402,51775,721
403,51790,360
404,51800,721
405,51810,2883
406,51820,720
407,51830,0
408,51840,1441
409,54001,0
410,54003,360
411,54005,180
412,54007,0
413,54009,0
414,54011,0
415,54013,0
416,54015,0
417,54017,0
418,54019,360
419,54021,0
420,54023,0
421,54025,0
422,54027,0
423,54029,360
424,54031,360
425,54033,180
426,54035,180
427,54037,0
428,54039,720
429,54041,0
430,54043,0
431,54045,180
432,54047,180
433,54049,0
434,54051,180
435,54053,0
436,54055,901
437,54057,180
438,54059,180
439,54061,0
440,54063,0
441,54065,0
442,54067,180
443,54069,2702
444,54071,0
445,54073,0
446,54075,360
447,54077,180
448,54079,0
449,54081,360
450,54083,0
451,54085,0
452,54087,180
453,54089,0
454,54091,0
455,54093,0
456,54095,0
457,54097,360
458,54099,180
459,54101,0
460,54103,0
461,54105,0
462,54107,360
463,54109,0
